CLS1,CLS2,p_plab,p_all
cnn_pfa,cnn_sfa,2.240652108298491e-12,3.0471646794705265e-07
cnn_pfa,cnn_sig,0.0,0.0
cnn_pfa,hmm_pfa,0.8970654817101781,0.0
cnn_pfa,hmm_sfa,0.0,0.0
cnn_pfa,snn_pfa,0.0,0.0
cnn_pfa,snn_sfa,0.0,0.0
cnn_pfa,snn_sig,0.0,0.0
cnn_pfa,svm_pfa,0.0,0.0
cnn_pfa,svm_sfa,0.0,0.0
cnn_pfa,svm_sig,0.0,9.992007221626409e-16
cnn_sfa,cnn_sig,0.0,4.192498836985692e-08
cnn_sfa,hmm_pfa,1.6583401318825963e-11,0.0
cnn_sfa,hmm_sfa,0.0,0.0
cnn_sfa,snn_pfa,0.0,0.0
cnn_sfa,snn_sfa,0.0,0.0
cnn_sfa,snn_sig,0.0,0.0
cnn_sfa,svm_pfa,0.0,0.0
cnn_sfa,svm_sfa,0.0,0.0
cnn_sfa,svm_sig,0.0,2.3564853401936148e-09
cnn_sig,hmm_pfa,0.0,0.0
cnn_sig,hmm_sfa,0.012912467084633228,0.0003451970978729513
cnn_sig,snn_pfa,0.06000634201732391,3.2779701175655873e-10
cnn_sig,snn_sfa,0.0,0.0
cnn_sig,snn_sig,0.0,0.0
cnn_sig,svm_pfa,0.0004309409569669409,6.212771905822478e-07
cnn_sig,svm_sfa,0.0,0.0
cnn_sig,svm_sig,0.0,0.008241403343983711
hmm_pfa,hmm_sfa,0.0,0.0
hmm_pfa,snn_pfa,0.0,0.0
hmm_pfa,snn_sfa,0.0,0.0
hmm_pfa,snn_sig,0.0,0.0
hmm_pfa,svm_pfa,0.0,0.0
hmm_pfa,svm_sfa,0.0,0.0
hmm_pfa,svm_sig,0.0,0.0
hmm_sfa,snn_pfa,3.1808490901230613e-06,0.05990314606309155
hmm_sfa,snn_sfa,1.293132267932151e-11,0.0
hmm_sfa,snn_sig,0.0,0.0
hmm_sfa,svm_pfa,6.778799743756281e-11,0.5633709041901419
hmm_sfa,svm_sfa,0.0,0.0
hmm_sfa,svm_sig,0.0,0.9623908463613808
snn_pfa,snn_sfa,0.0,0.0
snn_pfa,snn_sig,0.0,0.0
snn_pfa,svm_pfa,0.022773309501244787,0.029832925460518633
snn_pfa,svm_sfa,0.0,0.0
snn_pfa,svm_sig,0.0,0.22016318392337353
snn_sfa,snn_sig,0.0,0.0
snn_sfa,svm_pfa,0.0,0.0
snn_sfa,svm_sfa,0.0,0.0
snn_sfa,svm_sig,0.0,8.028022691064507e-13
snn_sig,svm_pfa,0.0,0.0
snn_sig,svm_sfa,0.0,0.003340211827545625
snn_sig,svm_sig,0.0,0.0
svm_pfa,svm_sfa,0.0,0.0
svm_pfa,svm_sig,0.0,0.6779573087408425
svm_sfa,svm_sig,1.5151125909440566e-09,0.0
